cat1,cat_id,trade_rows,sensitivity_units,rank,trade_row_share_pct,cumulative_trade_row_share_pct,segment
50008168,50013636,2066,2279,1,6.893330219211904,6.893330219211904,Head group: first 80% of trade rows
50008168,50010558,1341,1523,2,4.474325181008308,11.367655400220212,Head group: first 80% of trade rows
50008168,50013207,1148,1284,3,3.830369357045144,15.198024757265355,Head group: first 80% of trade rows
50008168,50006602,924,1562,4,3.082980214207067,18.28100497147242,Head group: first 80% of trade rows
28,50011993,864,1498,5,2.8827866938040105,21.16379166527643,Head group: first 80% of trade rows
50008168,50012451,739,825,6,2.4657168596309766,23.629508524907408,Head group: first 80% of trade rows
50014815,50018831,718,1629,7,2.3956491274899068,26.025157652397315,Head group: first 80% of trade rows
122650008,50012359,554,593,8,1.8484535050548863,27.873611157452203,Head group: first 80% of trade rows
50008168,50010555,522,548,9,1.74168362750659,29.61529478495879,Head group: first 80% of trade rows
38,211122,502,2058,10,1.6749524540389045,31.290247238997697,Head group: first 80% of trade rows
50022520,50023591,476,487,11,1.588201928530913,32.87844916752861,Head group: first 80% of trade rows
50008168,50010566,464,497,12,1.5481632244503019,34.42661239197891,Head group: first 80% of trade rows
50008168,50013711,431,477,13,1.438056788228621,35.86466918020753,Head group: first 80% of trade rows
50008168,50010549,420,434,14,1.401354642821394,37.266023823028924,Head group: first 80% of trade rows
50008168,50010557,413,436,15,1.377998732107704,38.64402255513663,Head group: first 80% of trade rows
28,50003700,407,669,16,1.3579793800673985,40.00200193520403,Head group: first 80% of trade rows
122650008,50012365,390,400,17,1.3012578826198657,41.30325981782389,Head group: first 80% of trade rows
50008168,50007011,361,445,18,1.2044976810917218,42.507757498915616,Head group: first 80% of trade rows
50008168,50010544,331,338,19,1.1044009208901937,43.61215841980581,Head group: first 80% of trade rows
50008168,50012442,321,347,20,1.071035334156351,44.68319375396216,Head group: first 80% of trade rows
50008168,121394024,300,322,21,1.0009676020152813,45.68416135597744,Head group: first 80% of trade rows
122650008,50012364,272,282,22,0.9075439591605219,46.59170531513796,Head group: first 80% of trade rows
28,50023670,250,412,23,0.8341396683460678,47.425844983484026,Head group: first 80% of trade rows
50008168,50010536,245,267,24,0.8174568749791465,48.24330185846317,Head group: first 80% of trade rows
122650008,50012361,236,257,25,0.7874278469186881,49.03072970538186,Head group: first 80% of trade rows
28,251725,229,423,26,0.7640719362049981,49.79480164158686,Head group: first 80% of trade rows
50008168,121452056,224,240,27,0.7473891428380768,50.54219078442493,Head group: first 80% of trade rows
50022520,50016704,220,235,28,0.7340429081445398,51.27623369256947,Head group: first 80% of trade rows
50008168,50024842,209,282,29,0.6973407627373127,51.97357445530678,Head group: first 80% of trade rows
50008168,50010542,206,225,30,0.6873310867171599,52.66090554202394,Head group: first 80% of trade rows
50014815,50009540,205,253,31,0.6839945280437756,53.344900070067716,Head group: first 80% of trade rows
50014815,50012564,203,469,32,0.6773214106970071,54.02222148076472,Head group: first 80% of trade rows
50022520,50012375,203,210,33,0.6773214106970071,54.699542891461725,Head group: first 80% of trade rows
122650008,50012363,203,210,34,0.6773214106970071,55.37686430215873,Head group: first 80% of trade rows
28,50012424,199,258,35,0.66397517600347,56.0408394781622,Head group: first 80% of trade rows
50008168,50010545,198,214,36,0.6606386173300858,56.701478095492284,Head group: first 80% of trade rows
50014815,50017100,193,268,37,0.6439558239631644,57.345433919455445,Head group: first 80% of trade rows
122650008,50012360,170,171,38,0.5672149744753261,57.91264889393077,Head group: first 80% of trade rows
50014815,50018436,168,214,39,0.5605418571285576,58.47319075105933,Head group: first 80% of trade rows
50022520,50016706,149,180,40,0.49714724233425645,58.970337993393585,Head group: first 80% of trade rows
50014815,50009547,147,194,41,0.49047412498748794,59.46081211838107,Head group: first 80% of trade rows
122650008,50012366,147,149,42,0.49047412498748794,59.95128624336856,Head group: first 80% of trade rows
28,50002524,143,543,43,0.4771278902939508,60.42841413366251,Head group: first 80% of trade rows
28,50013187,139,667,44,0.46378165560041373,60.89219578926292,Head group: first 80% of trade rows
28,50014129,137,161,45,0.4571085382536452,61.34930432751656,Head group: first 80% of trade rows
50008168,121466023,130,186,46,0.43375262753995525,61.783056955056516,Head group: first 80% of trade rows
28,50012788,126,169,47,0.42040639284641823,62.20346334790293,Head group: first 80% of trade rows
38,50006843,126,300,48,0.42040639284641823,62.62386974074935,Head group: first 80% of trade rows
28,121540027,123,139,49,0.4103967168262654,63.03426645757561,Head group: first 80% of trade rows
50014815,50015727,123,150,50,0.4103967168262654,63.444663174401875,Head group: first 80% of trade rows
28,50024151,115,133,51,0.38370424743919124,63.828367421841065,Head group: first 80% of trade rows
50014815,50012777,108,156,52,0.3603483367255013,64.18871575856657,Head group: first 80% of trade rows
50022520,50006030,108,109,53,0.3603483367255013,64.54906409529208,Head group: first 80% of trade rows
50014815,50010236,104,107,54,0.34700210203196424,64.89606619732405,Head group: first 80% of trade rows
50014815,50228021,104,126,55,0.34700210203196424,65.24306829935601,Head group: first 80% of trade rows
28,50008875,103,128,56,0.34366554335857996,65.5867338427146,Head group: first 80% of trade rows
50014815,50012431,102,107,57,0.3403289846851957,65.9270628273998,Head group: first 80% of trade rows
50008168,121408024,101,138,58,0.33699242601181145,66.26405525341161,Head group: first 80% of trade rows
28,50023636,96,207,59,0.3203096326448901,66.5843648860565,Head group: first 80% of trade rows
28,50008847,94,168,60,0.31363651529812153,66.89800140135463,Head group: first 80% of trade rows
